genre, title1, title2, votes, rating
Comedy,Drama,Romance	Modern Times	Modern Times	249472	8.5
Drama,Romance,War	Casablanca	Casablanca	586065	8.5
Mystery,Thriller	Rear Window	Rear Window	503891	8.5
Horror,Mystery,Thriller	Psycho	Psycho	690794	8.5
Horror,Sci-Fi	Alien	Alien	907702	8.5
Adventure,Comedy,Sci-Fi	Back to the Future	Back to the Future	1246179	8.5
Adventure,Animation,Drama	The Lion King	The Lion King	1091384	8.5
Crime,Drama,Mystery	The Usual Suspects	The Usual Suspects	1108268	8.5
Crime,Drama	American History X	American History X	1147399	8.5
Action,Adventure,Drama	Gladiator	Gladiator	1543081	8.5
Biography,Drama,Music	The Pianist	The Pianist	861028	8.5
Crime,Drama,Thriller	The Departed	The Departed	1362849	8.5
Drama,Mystery,Sci-Fi	The Prestige	The Prestige	1371103	8.5
Biography,Documentary,Sport	Senna	Senna	72981	8.5
Drama,Music	Whiplash	Whiplash	912328	8.5
Comedy,Drama,War	The Great Dictator	The Great Dictator	229594	8.4
Drama,Film-Noir	Sunset Blvd.	Sunset Blvd.	227960	8.4
Drama,War	Paths of Glory	Paths of Glory	203172	8.4
Crime,Drama,Mystery	Witness for the Prosecution	Witness for the Prosecution	130280	8.4
Comedy,War	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	502058	8.4
Drama,Mystery,War	Apocalypse Now	Apocalypse Now	684878	8.4
Drama,Horror	The Shining	The Shining	1054653	8.4
Drama,War	Das Boot	Das Boot	256566	8.4
Action,Adventure	Indiana Jones and the Raiders of the Lost Ark	Raiders of the Lost Ark	998239	8.4
Biography,Drama,Music	Amadeus	Amadeus	411469	8.4
Action,Adventure,Sci-Fi	Aliens	Aliens	735555	8.4
Mystery,Thriller	Memento	Memento	1268831	8.4
Adventure,Animation,Family	WALL·E	WALL·E	1149362	8.4
Comedy,Drama	3 Idiots	3 Idiots	412844	8.4
Biography,Crime,Documentary	The Cove	The Cove	50519	8.4
Action,Drama,Thriller	The Dark Knight Rises	The Dark Knight Rises	1750253	8.4
Drama,Western	Django Unchained	Django Unchained	1608906	8.4
Adventure,Animation,Drama	Coco	Coco	540457	8.4
Action,Adventure,Sci-Fi	Avengers: Infinity War	Avengers: Infinity War	1133146	8.4
Action,Adventure,Drama	Avengers: Endgame	Avengers: Endgame	1190553	8.4
Action,Adventure,Animation	Spider-Man: Into the Spider-Verse	Spider-Man: Into the Spider-Verse	602731	8.4
Crime,Drama,Thriller	Joker	Joker	1366683	8.4
Comedy,Drama,Romance	Dil Bechara	Dil Bechara	132919	8.4
Drama	Capernaum	Capharnaüm	96236	8.4
Comedy,Drama,Family	The Kid	The Kid	129903	8.3
Drama,Sci-Fi	Metropolis	Metropolis	178957	8.3
Drama,Mystery	Citizen Kane	Citizen Kane	452217	8.3
Crime,Drama,Film-Noir	Double Indemnity	Double Indemnity	161436	8.3
Drama	Ikiru	Ikiru	82459	8.3
Comedy,Musical,Romance	Singin' in the Rain	Singin' in the Rain	250071	8.3
Mystery,Romance,Thriller	Vertigo	Vertigo	412423	8.3
Action,Adventure,Mystery	North by Northwest	North by Northwest	335867	8.3
Comedy,Drama,Romance	The Apartment	The Apartment	187487	8.3
Drama,War	Judgment at Nuremberg	Judgment at Nuremberg	80436	8.3
Adventure,Biography,Drama	Lawrence of Arabia	Lawrence of Arabia	302470	8.3
Crime,Drama	To Kill a Mockingbird	To Kill a Mockingbird	323379	8.3
Adventure,Sci-Fi	2001: A Space Odyssey	2001: A Space Odyssey	688749	8.3
Crime,Sci-Fi	A Clockwork Orange	A Clockwork Orange	851164	8.3
Comedy,Crime,Drama	The Sting	The Sting	270493	8.3
Action,Adventure,Fantasy	Star Wars: Episode VI - Return of the Jedi	Star Wars: Episode VI - Return of the Jedi	1082262	8.3
Crime,Drama	Scarface	Scarface	871115	8.3
Crime,Drama	Once Upon a Time in America	Once Upon a Time in America	362020	8.3
Drama,War	Full Metal Jacket	Full Metal Jacket	761963	8.3
Crime,Thriller	Reservoir Dogs	Reservoir Dogs	1047402	8.3
Biography,Drama,History	Braveheart	Braveheart	1059129	8.3
Action,Crime,Drama	Heat	Heat	681213	8.3
Adventure,Animation,Comedy	Toy Story	Toy Story	1023875	8.3
Drama,Romance	Good Will Hunting	Good Will Hunting	1009042	8.3
Drama	American Beauty	American Beauty	1176850	8.3
Drama	Requiem for a Dream	Requiem for a Dream	865120	8.3
Drama,Romance,Sci-Fi	Eternal Sunshine of the Spotless Mind	Eternal Sunshine of the Spotless Mind	1035439	8.3
Adventure,Drama,War	Inglourious Basterds	Inglourious Basterds	1500386	8.3
Adventure,Animation,Comedy	Toy Story 3	Toy Story 3	859345	8.3
Action,Biography,Drama	Shershaah	Shershaah	125260	8.3
Adventure,Animation,Comedy	Up	Up	1075696	8.3
Action,Crime,Drama	K.G.F: Chapter 2	K.G.F: Chapter 2	140517	8.3
Drama,Mystery	Incendies	Incendies	185476	8.3
Action,Adventure,Drama	Kantara	Kantara	96429	8.3
Action,Drama	Top Gun: Maverick	Top Gun: Maverick	603772	8.3
Action,Biography,Drama	Dangal	Dangal	198518	8.3
Biography,Drama,History	Hamilton	Hamilton	102855	8.3
Comedy,Drama,Romance	Chhichhore	Chhichhore	58326	8.3
Action,Crime,Thriller	Vikram	Vikram	64517	8.3
Action,Comedy,Romance	Sherlock Jr.	Sherlock Jr.	52914	8.2
Drama,Romance,War	Gone with the Wind	Gone with the Wind	323601	8.2
Adventure,Drama,Western	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre	128491	8.2
Drama	All About Eve	All About Eve	134585	8.2
Crime,Thriller	Dial M for Murder	Dial M for Murder	181478	8.2
Comedy,Music,Romance	Some Like It Hot	Some Like It Hot	274233	8.2
Adventure,Drama,History	The Great Escape	The Great Escape	250465	8.2
Drama,Mystery,Thriller	Chinatown	Chinatown	336087	8.2
Adventure,Comedy,Fantasy	Monty Python and the Holy Grail	Monty Python and the Holy Grail	553778	8.2
Crime,Drama	Taxi Driver	Taxi Driver	869736	8.2
Biography,Drama	The Elephant Man	The Elephant Man	249086	8.2
Horror,Mystery,Sci-Fi	The Thing	The Thing	441252	8.2
Action,Drama,War	Ran	Ran	129954	8.2
Action,Thriller	Die Hard	Die Hard	904650	8.2
Action,Adventure	Indiana Jones and the Last Crusade	Indiana Jones and the Last Crusade	779348	8.2
Drama,Western	Unforgiven	Unforgiven	422483	8.2
Action,Adventure,Sci-Fi	Jurassic Park	Jurassic Park	1020300	8.2
Crime,Drama	Casino	Casino	537646	8.2
Drama,Family,Sport	Children of Heaven	Bacheha-Ye aseman	77177	8.2
Crime,Drama,Mystery	L.A. Confidential	L.A. Confidential	595313	8.2
Comedy,Drama	The Truman Show	The Truman Show	1124052	8.2
Drama,Mystery,Thriller	The Sixth Sense	The Sixth Sense	1014637	8.2
Comedy,Crime	Snatch	Snatch	877341	8.2
Adventure,Animation,Comedy	Finding Nemo	Finding Nemo	1071442	8.2
Action,Crime,Thriller	Kill Bill: Vol. 1	Kill Bill: Vol. 1	1145494	8.2
Biography,Drama	A Beautiful Mind	A Beautiful Mind	953715	8.2
Drama,Musical	Swades	Swades: We, the People	93908	8.2
Action,Crime,Drama	Batman Begins	Batman Begins	1510799	8.2
Action,Drama,Sci-Fi	V for Vendetta	V for Vendetta	1144396	8.2
Drama	There Will Be Blood	There Will Be Blood	607054	8.2
Crime,Drama,Thriller	No Country for Old Men	No Country for Old Men	1006816	8.2
Biography,Comedy,Crime	The Wolf of Wall Street	The Wolf of Wall Street	1473575	8.2
Drama,Mystery	The Father	The Father	171258	8.2
Action,Adventure,Fantasy	Spider-Man: No Way Home	Spider-Man: No Way Home	809351	8.2
Mystery,Thriller	Shutter Island	Shutter Island	1369832	8.2
Drama	Farha	Farha	79682	8.2
Comedy,Drama,Musical	Zindagi Na Milegi Dobara	Zindagi Na Milegi Dobara	81848	8.2
Crime,Documentary	Inside Job	Inside Job	77175	8.2
Action,Comedy,Crime	Gangs of Wasseypur	Gangs of Wasseypur	99727	8.2
Biography,Documentary,Music	Searching for Sugar Man	Searching for Sugar Man	70434	8.2
Biography,Drama,Sport	Bhaag Milkha Bhaag	Bhaag Milkha Bhaag	70025	8.2
Crime,Drama,Mystery	Drishyam	Drishyam	89215	8.2
Adventure,Animation,Comedy	Klaus	Klaus	167759	8.2
Action,Drama	Baahubali 2: The Conclusion	Bãhubali 2: The Conclusion	107769	8.2
Action,Adventure,Comedy	Guardians of the Galaxy Vol. 3	Guardians of the Galaxy Vol. 3	182560	8.2
Biography,Comedy,Drama	Green Book	Green Book	523646	8.2
Action,Crime,Drama	K.G.F: Chapter 1	K.G.F: Chapter 1	92235	8.2
Crime,Mystery,Thriller	Andhadhun	Andhadhun	97716	8.2
Drama,Fantasy,Horror	Tumbbad	Tumbbad	53608	8.2
Action,Drama,History	Uri: The Surgical Strike	Uri: The Surgical Strike	67983	8.2
Action,Drama,War	1917	1917	626589	8.2
Adventure,Comedy,Drama	The Gold Rush	The Gold Rush	114370	8.1
Action,Adventure,Comedy	The General	The General	94336	8.1
Drama,Romance	Sunrise	Sunrise: A Song of Two Humans	52501	8.1
Drama,War	All Quiet on the Western Front	All Quiet on the Western Front	65672	8.1
Comedy,Romance	It Happened One Night	It Happened One Night	107830	8.1
Comedy,Drama	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington	118001	8.1
Adventure,Family,Fantasy	The Wizard of Oz	The Wizard of Oz	412174	8.1
Drama	The Grapes of Wrath	The Grapes of Wrath	96577	8.1
Drama,Film-Noir,Mystery	Rebecca	Rebecca	141378	8.1
Drama,Romance,War	The Best Years of Our Lives	The Best Years of Our Lives	67485	8.1
Film-Noir,Mystery,Thriller	The Third Man	The Third Man	175968	8.1
Crime,Drama,Thriller	On the Waterfront	On the Waterfront	159179	8.1
Adventure,Drama,War	The Bridge on the River Kwai	The Bridge on the River Kwai	226464	8.1
Adventure,Drama	Ben-Hur	Ben-Hur	245972	8.1
Drama,Western	The Man Who Shot Liberty Valance	The Man Who Shot Liberty Valance	79310	8.1
Biography,Drama,Family	The Sound of Music	The Sound of Music	245964	8.1
Biography,Drama,History	Andrei Rublev	Andrey Rublyov	55402	8.1
Drama,Thriller	Persona	Persona	124413	8.1
Crime,Drama	Cool Hand Luke	Cool Hand Luke	182603	8.1
Horror	The Exorcist	The Exorcist	423701	8.1
Comedy,Crime,Drama	Paper Moon	Paper Moon	50090	8.1
Adventure,Drama,War	Barry Lyndon	Barry Lyndon	174666	8.1
Adventure,Mystery,Thriller	Jaws	Jaws	628513	8.1
Action,Adventure,Comedy	Sholay	Sholay	57262	8.1
Drama	Network	Network	164180	8.1
Drama,Sport	Rocky	Rocky	601774	8.1
Drama,War	The Deer Hunter	The Deer Hunter	348025	8.1
Drama,Sci-Fi	Stalker	Stalker	139053	8.1
Biography,Drama,Sport	Raging Bull	Raging Bull	364741	8.1
Action,Drama,Sci-Fi	Blade Runner	Blade Runner	791606	8.1
Drama	Paris, Texas	Paris, Texas	111254	8.1
Action,Sci-Fi	The Terminator	The Terminator	890042	8.1
Drama,War	Platoon	Platoon	424773	8.1
Adventure,Drama	Stand by Me	Stand by Me	419769	8.1
Comedy,Drama	Dead Poets Society	Dead Poets Society	513227	8.1
Biography,Crime,Drama	In the Name of the Father	In the Name of the Father	180573	8.1
Drama,Romance	Before Sunrise	Before Sunrise	322410	8.1
Crime,Drama	La haine	La haine	182719	8.1
Comedy,Drama,Fantasy	Underground	Underground	59758	8.1
Crime,Thriller	Fargo	Fargo	695367	8.1
Drama	Trainspotting	Trainspotting	703308	8.1
Comedy,Crime	The Big Lebowski	The Big Lebowski	830311	8.1
Action,Comedy,Crime	Lock, Stock and Two Smoking Barrels	Lock, Stock and Two Smoking Barrels	597165	8.1
Action,Adventure,Animation	The Iron Giant	The Iron Giant	211313	8.1
Drama,Musical,Sport	Lagaan: Once Upon a Time in India	Lagaan: Once Upon a Time in India	117317	8.1
Adventure,Animation,Comedy	Monsters, Inc.	Monsters, Inc.	937051	8.1
Action,Comedy,Crime	Hera Pheri	Hera Pheri	69714	8.1
Biography,Crime,Drama	Catch Me If You Can	Catch Me If You Can	1028526	8.1
Comedy,Drama,Romance	Dil Chahta Hai	Dil Chahta Hai	74006	8.1
Action,Adventure,Fantasy	Pirates of the Caribbean: The Curse of the Black Pearl	Pirates of the Caribbean: The Curse of the Black Pearl	1159219	8.1
Comedy,Drama	Munna Bhai M.B.B.S.	Munna Bhai M.B.B.S.	84888	8.1
Drama,Romance	Before Sunset	Before Sunset	275388	8.1
Adventure,Animation,Comedy	Ratatouille	Ratatouille	772685	8.1
Biography,Drama,History	Hotel Rwanda	Hotel Rwanda	362912	8.1
Drama,Sport	Million Dollar Baby	Million Dollar Baby	702005	8.1
Comedy,Crime,Drama	Rang De Basanti	Rang De Basanti	120692	8.1
Adventure,Biography,Drama	Into the Wild	Into the Wild	637251	8.1
Action,Adventure,Animation	How to Train Your Dragon	How to Train Your Dragon	765504	8.1
Biography,Drama,Family	Hachi: A Dog's Tale	Hachi: A Dog's Tale	296566	8.1
Adventure,Family,Fantasy	Harry Potter and the Deathly Hallows: Part 2	Harry Potter and the Deathly Hallows: Part 2	905242	8.1
Drama	Gran Torino	Gran Torino	792076	8.1
Action,Crime,Drama	A Wednesday	A Wednesday	80408	8.1
Documentary	My Octopus Teacher	My Octopus Teacher	58954	8.1
Action,Drama,Sport	Warrior	Warrior	483351	8.1
Action,Adventure,Sci-Fi	Mad Max: Fury Road	Mad Max: Fury Road	1035110	8.1
Crime,Drama,Mystery	Prisoners	Prisoners	752761	8.1
Drama	The Help	The Help	474502	8.1
Mystery,Thriller	Kahaani	Kahaani	64188	8.1
Biography,Crime,Drama	Spotlight	Spotlight	484245	8.1
Action,Biography,Drama	Ford v Ferrari	Ford v Ferrari	424007	8.1
Action,Biography,Drama	Rush	Rush	493243	8.1
Biography,Drama,History	12 Years a Slave	12 Years a Slave	718284	8.1
Comedy,Drama,Romance	Barfi!	Barfi!	84308	8.1
Adventure,Animation,Comedy	Inside Out	Inside Out	741676	8.1
Biography,Drama,History	Hacksaw Ridge	Hacksaw Ridge	554204	8.1
Drama,Mystery,Thriller	Gone Girl	Gone Girl	1013462	8.1
Adventure,Comedy,Crime	The Grand Budapest Hotel	The Grand Budapest Hotel	844285	8.1
Comedy,Drama,Fantasy	OMG: Oh My God!	OMG: Oh My God!	60949	8.1
Comedy,Drama,Sci-Fi	PK	PK	193879	8.1
Documentary	Blackfish	Blackfish	70058	8.1
Drama,Thriller	Room	Room	433605	8.1
Action,Drama,Sci-Fi	Logan	Logan	792423	8.1
Adventure,Comedy,Drama	Queen	Queen	67177	8.1
Action,Adventure,Comedy	Bajrangi Bhaijaan	Bajrangi Bhaijaan	92435	8.1
Comedy,Crime,Drama	Three Billboards Outside Ebbing, Missouri	Three Billboards Outside Ebbing, Missouri	528758	8.1
Adventure,Documentary,Sport	Free Solo	Free Solo	72685	8.1
Crime,Film-Noir,Mystery	The Maltese Falcon	The Maltese Falcon	162818	8.0
Drama,Thriller,Western	High Noon	High Noon	107314	8.0
Comedy,Romance	Roman Holiday	Roman Holiday	142931	8.0
Comedy,Drama,War	Stalag 17	Stalag 17	57242	8.0
Drama	La strada	La strada	65009	8.0
Crime,Drama,Film-Noir	The Night of the Hunter	The Night of the Hunter	92815	8.0
Crime,Drama,Film-Noir	Touch of Evil	Touch of Evil	107197	8.0
Drama,Mystery	Anatomy of a Murder	Anatomy of a Murder	68669	8.0
Drama,Western	Rio Bravo	Rio Bravo	65509	8.0
Drama,Sport	The Hustler	The Hustler	84405	8.0
Drama,Horror,Thriller	What Ever Happened to Baby Jane?	What Ever Happened to Baby Jane?	59095	8.0
Biography,Drama	8½	8½	121564	8.0
Drama	Who's Afraid of Virginia Woolf?	Who's Afraid of Virginia Woolf?	77749	8.0
Comedy,Drama,Romance	The Graduate	The Graduate	281090	8.0
Crime,Drama,Thriller	Le Samouraï	Le Samouraï	53911	8.0
Adventure,Sci-Fi	Planet of the Apes	Planet of the Apes	186039	8.0
Drama,Horror	Rosemary's Baby	Rosemary's Baby	224492	8.0
Biography,Crime,Drama	Butch Cassidy and the Sundance Kid	Butch Cassidy and the Sundance Kid	221421	8.0
Drama,Romance	The Last Picture Show	The Last Picture Show	50251	8.0
Biography,Crime,Drama	Papillon	Papillon	134588	8.0
Comedy	Young Frankenstein	Young Frankenstein	163445	8.0
Biography,Crime,Drama	Dog Day Afternoon	Dog Day Afternoon	265059	8.0
Comedy,Romance	Annie Hall	Annie Hall	270967	8.0
Comedy,Drama	Being There	Being There	75102	8.0
Comedy	Life of Brian	Life of Brian	410426	8.0
Biography,Drama,History	Gandhi	Gandhi	236580	8.0
Drama,Fantasy,Music	Pink Floyd: The Wall	Pink Floyd: The Wall	83280	8.0
Adventure,Comedy,Family	The Princess Bride	The Princess Bride	437458	8.0
Action,Animation,Drama	Akira	Akira	194851	8.0
Drama	Rain Man	Rain Man	528512	8.0
Comedy,Drama	Do the Right Thing	Do the Right Thing	107164	8.0
Adventure,Drama,Western	Dances with Wolves	Dances with Wolves	278048	8.0
Animation,Family,Fantasy	Beauty and the Beast	Beauty and the Beast	466308	8.0
Drama,History,Thriller	JFK	JFK	162716	8.0
Adventure,Animation,Comedy	Aladdin	Aladdin	440468	8.0
Drama	Scent of a Woman	Scent of a Woman	312016	8.0
Comedy,Drama,Fantasy	Groundhog Day	Groundhog Day	654090	8.0
Action,Comedy,Romance	Andaz Apna Apna	Andaz Apna Apna	54306	8.0
Drama,Romance	Dilwale Dulhania Le Jayenge	Dilwale Dulhania Le Jayenge	73257	8.0
Mystery,Sci-Fi,Thriller	12 Monkeys	Twelve Monkeys	631105	8.0
Drama	Sling Blade	Sling Blade	96367	8.0
Biography,Drama	The Straight Story	The Straight Story	93503	8.0
Drama	Magnolia	Magnolia	320354	8.0
Drama,Mystery,Sci-Fi	Donnie Darko	Donnie Darko	822412	8.0
Crime,Drama	Dogville	Dogville	153622	8.0
Crime,Documentary,Drama	Bowling for Columbine	Bowling for Columbine	146681	8.0
Action,Adventure,Animation	The Incredibles	The Incredibles	766861	8.0
Adventure,Drama,Fantasy	Big Fish	Big Fish	449222	8.0
Biography,Drama,Romance	Cinderella Man	Cinderella Man	192876	8.0
Action,Crime,Thriller	Kill Bill: Vol. 2	Kill Bill: Vol. 2	776757	8.0
Action,Adventure,Thriller	Casino Royale	Casino Royale	673166	8.0
Adventure,Comedy,Sci-Fi	G.O.R.A.	G.O.R.A.	64758	8.0
Documentary,Drama	Sicko	Sicko	76203	8.0
Crime,Thriller	Sin City	Sin City	780645	8.0
Action,Mystery,Thriller	The Bourne Ultimatum	The Bourne Ultimatum	645587	8.0
Adventure,Drama,Thriller	Blood Diamond	Blood Diamond	566139	8.0
Biography,Drama	The Pursuit of Happyness	The Pursuit of Happyness	533660	8.0
Animation,Biography,Drama	Persepolis	Persepolis	97402	8.0
Action,Sci-Fi	The Avengers	The Avengers	1421026	8.0
Drama,Thriller	Black Swan	Black Swan	791930	8.0
Crime,Drama,Romance	Slumdog Millionaire	Slumdog Millionaire	860427	8.0
Comedy,Drama,Music	CODA	CODA	147895	8.0
Action,Adventure,Drama	Dune: Part One	Dune: Part One	688901	8.0
Animation,Biography,Documentary	Waltz with Bashir	Vals Im Bashir	59162	8.0
Action,Biography,Drama	Ip Man	Ip Man	229045	8.0
Action,Adventure,Fantasy	Karthikeya 2	Karthikeya 2	63433	8.0
Action,Comedy	Deadpool	Deadpool	1073671	8.0
Biography,Drama,History	The King's Speech	The King's Speech	693312	8.0
Action,Adventure,Drama	The Revenant	The Revenant	831466	8.0
Drama,Romance,Sci-Fi	Her	Her	639397	8.0
Action,Drama,Mystery	Blade Runner 2049	Blade Runner 2049	609186	8.0
Adventure,Animation,Drama	Song of the Sea	Song of the Sea	60880	8.0
Action,Adventure,Comedy	Guardians of the Galaxy	Guardians of the Galaxy	1226653	8.0
Biography,Drama,Thriller	The Imitation Game	The Imitation Game	792166	8.0
Crime,Drama,Thriller	Special 26	Special Chabbis	57630	8.0
Action,Drama	Baahubali: The Beginning	Bãhubali: The Beginning	130792	8.0
Adventure,Animation,Comedy	Zootopia	Zootopia	519546	8.0
Adventure,Animation,Comedy	Soul	Soul	348950	8.0
Action,Crime,Drama	Haider	Haider	56227	8.0
Drama	Mommy	Mommy	59380	8.0
Adventure,Drama,Sci-Fi	The Martian	The Martian	883205	8.0
Biography,Drama	Lion	Lion	243304	8.0
Comedy,Drama,Music	La La Land	La La Land	619652	8.0
Biography,Documentary,History	Citizenfour	Citizenfour	56870	8.0
Biography,Drama,Sport	M.S. Dhoni: The Untold Story	M.S. Dhoni: The Untold Story	63651	8.0
Adventure,Horror,Sci-Fi	King Kong	King Kong	88164	7.9
Action,Adventure,Romance	The Adventures of Robin Hood	The Adventures of Robin Hood	53001	7.9
Comedy,Romance	The Philadelphia Story	The Philadelphia Story	71692	7.9
Comedy,Crime,Thriller	Arsenic and Old Lace	Arsenic and Old Lace	72927	7.9
Crime,Film-Noir,Mystery	The Big Sleep	The Big Sleep	88214	7.9
Drama,Film-Noir,Romance	Notorious	Notorious	104020	7.9
Comedy,Drama,Family	Miracle on 34th Street	Miracle on 34th Street	51306	7.9
Crime,Drama,Mystery	Rope	Rope	148430	7.9
Comedy,Drama,Fantasy	Harvey	Harvey	56932	7.9
Crime,Drama,Film-Noir	Strangers on a Train	Strangers on a Train	137294	7.9
Drama	A Streetcar Named Desire	A Streetcar Named Desire	111543	7.9
Crime,Drama,Film-Noir	The Killing	The Killing	93138	7.9
Adventure,Drama,Western	The Searchers	The Searchers	93086	7.9
Adventure,Drama,Family	The Ten Commandments	The Ten Commandments	74598	7.9
Drama	Cat on a Hot Tin Roof	Cat on a Hot Tin Roof	51664	7.9
Adventure,Biography,Drama	Spartacus	Spartacus	138937	7.9
Drama,Thriller	The Manchurian Candidate	The Manchurian Candidate	77469	7.9
Comedy,Mystery,Romance	Charade	Charade	81619	7.9
Drama,Romance,War	Doctor Zhivago	Doctor Zhivago	79683	7.9
Drama,Mystery,Thriller	In the Heat of the Night	In the Heat of the Night	79928	7.9
Action,Adventure,Drama	The Wild Bunch	The Wild Bunch	87736	7.9
Biography,Drama,War	Patton	Patton	105352	7.9
Comedy,Drama,Romance	Harold and Maude	Harold and Maude	79747	7.9
Drama,History,Thriller	All the President's Men	All the President's Men	120962	7.9
Action,Adventure,Comedy	The Blues Brothers	The Blues Brothers	206634	7.9
Adventure,Family,Sci-Fi	E.T. the Extra-Terrestrial	E.T. the Extra-Terrestrial	422433	7.9
Comedy,Family	A Christmas Story	A Christmas Story	161118	7.9
Comedy,Music	This Is Spinal Tap	This Is Spinal Tap	143249	7.9
Drama,Sci-Fi	Brazil	Brazil	205759	7.9
Drama,Fantasy,Romance	Edward Scissorhands	Edward Scissorhands	504897	7.9
Crime,Drama,Thriller	Carlito's Way	Carlito's Way	225209	7.9
Animation,Family,Fantasy	The Nightmare Before Christmas	The Nightmare Before Christmas	352940	7.9
Crime,Drama,Romance	True Romance	True Romance	234189	7.9
Drama	Boogie Nights	Boogie Nights	273576	7.9
Drama,Romance	Titanic	Titanic	1227992	7.9
Adventure,Animation,Comedy	Toy Story 2	Toy Story 2	598391	7.9
Adventure,Animation,Comedy	Shrek	Shrek	703226	7.9
Drama,Mystery,Thriller	Mulholland Drive	Mulholland Dr.	368537	7.9
Crime,Drama,Musical	Dancer in the Dark	Dancer in the Dark	113341	7.9
Adventure,Comedy,Drama	Almost Famous	Almost Famous	284711	7.9
Action,Drama,Sci-Fi	Children of Men	Children of Men	513205	7.9
Action,Mystery,Thriller	The Bourne Identity	The Bourne Identity	560589	7.9
Adventure,Family,Fantasy	Harry Potter and the Prisoner of Azkaban	Harry Potter and the Prisoner of Azkaban	658873	7.9
Crime,Drama,Mystery	Mystic River	Mystic River	469118	7.9
Comedy,Drama,Musical	Kal Ho Naa Ho	Kal Ho Naa Ho	72144	7.9
Comedy,Horror	Shaun of the Dead	Shaun of the Dead	573573	7.9
Action,Adventure,Sci-Fi	Iron Man	Iron Man	1087090	7.9
Adventure,Animation,Comedy	Fantastic Mr. Fox	Fantastic Mr. Fox	249733	7.9
Adventure,Drama,Fantasy	Life of Pi	Life of Pi	647509	7.9
Action,Adventure,Fantasy	Avatar	Avatar	1350951	7.9
Drama,Fantasy,Mystery	The Man from Earth	The Man from Earth	193211	7.9
Comedy,Crime,Drama	In Bruges	In Bruges	447021	7.9
Biography,Drama	Dallas Buyers Club	Dallas Buyers Club	502410	7.9
Action,Adventure,Sci-Fi	Star Trek	Star Trek	611390	7.9
Action,Crime,Thriller	John Wick: Chapter 4	John Wick: Chapter 4	231539	7.9
Drama	Boyhood	Boyhood	360829	7.9
Comedy,Drama,Romance	Jab We Met	Jab We Met	55923	7.9
Drama,Sport,Thriller	The Wrestler	The Wrestler	313583	7.9
Action,Sci-Fi,Thriller	District 9	District 9	697081	7.9
Adventure,Drama,Romance	My Name Is Khan	My Name Is Khan	111243	7.9
Action,Adventure,Fantasy	Zack Snyder's Justice League	Zack Snyder's Justice League	416799	7.9
Comedy,Crime,Documentary	Exit Through the Gift Shop	Exit Through the Gift Shop	67629	7.9
Drama	Amour	Amour	103178	7.9
