index, genre, title1, title2, votes, rating
111	Drama,Romance,War	Gone with the Wind	Gone with the Wind	323601	8.2
112	Adventure,Drama,Western	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre	128491	8.2
113	Drama	All About Eve	All About Eve	134585	8.2
114	Crime,Thriller	Dial M for Murder	Dial M for Murder	181478	8.2
115	Comedy,Music,Romance	Some Like It Hot	Some Like It Hot	274233	8.2
116	Adventure,Drama,History	The Great Escape	The Great Escape	250465	8.2
117	Drama,Mystery,Thriller	Chinatown	Chinatown	336087	8.2
118	Adventure,Comedy,Fantasy	Monty Python and the Holy Grail	Monty Python and the Holy Grail	553778	8.2
119	Crime,Drama	Taxi Driver	Taxi Driver	869736	8.2
120	Biography,Drama	The Elephant Man	The Elephant Man	249086	8.2
121	Horror,Mystery,Sci-Fi	The Thing	The Thing	441252	8.2
122	Action,Drama,War	Ran	Ran	129954	8.2
123	Action,Thriller	Die Hard	Die Hard	904650	8.2
124	Action,Adventure	Indiana Jones and the Last Crusade	Indiana Jones and the Last Crusade	779348	8.2
125	Drama,Western	Unforgiven	Unforgiven	422483	8.2
126	Action,Adventure,Sci-Fi	Jurassic Park	Jurassic Park	1020300	8.2
127	Crime,Drama	Casino	Casino	537646	8.2
128	Drama,Family,Sport	Children of Heaven	Bacheha-Ye aseman	77177	8.2
129	Crime,Drama,Mystery	L.A. Confidential	L.A. Confidential	595313	8.2
130	Comedy,Drama	The Truman Show	The Truman Show	1124052	8.2
131	Drama,Mystery,Thriller	The Sixth Sense	The Sixth Sense	1014637	8.2
132	Comedy,Crime	Snatch	Snatch	877341	8.2
133	Adventure,Animation,Comedy	Finding Nemo	Finding Nemo	1071442	8.2
134	Action,Crime,Thriller	Kill Bill: Vol. 1	Kill Bill: Vol. 1	1145494	8.2
135	Biography,Drama	A Beautiful Mind	A Beautiful Mind	953715	8.2
136	Drama,Musical	Swades	Swades: We, the People	93908	8.2
137	Action,Crime,Drama	Batman Begins	Batman Begins	1510799	8.2
138	Action,Drama,Sci-Fi	V for Vendetta	V for Vendetta	1144396	8.2
139	Drama	There Will Be Blood	There Will Be Blood	607054	8.2
140	Crime,Drama,Thriller	No Country for Old Men	No Country for Old Men	1006816	8.2
141	Biography,Comedy,Crime	The Wolf of Wall Street	The Wolf of Wall Street	1473575	8.2
142	Drama,Mystery	The Father	The Father	171258	8.2
143	Action,Adventure,Fantasy	Spider-Man: No Way Home	Spider-Man: No Way Home	809351	8.2
144	Mystery,Thriller	Shutter Island	Shutter Island	1369832	8.2
145	Drama	Farha	Farha	79682	8.2
146	Comedy,Drama,Musical	Zindagi Na Milegi Dobara	Zindagi Na Milegi Dobara	81848	8.2
147	Crime,Documentary	Inside Job	Inside Job	77175	8.2
148	Action,Comedy,Crime	Gangs of Wasseypur	Gangs of Wasseypur	99727	8.2
149	Biography,Documentary,Music	Searching for Sugar Man	Searching for Sugar Man	70434	8.2
150	Biography,Drama,Sport	Bhaag Milkha Bhaag	Bhaag Milkha Bhaag	70025	8.2
151	Crime,Drama,Mystery	Drishyam	Drishyam	89215	8.2
152	Adventure,Animation,Comedy	Klaus	Klaus	167759	8.2
153	Action,Drama	Baahubali 2: The Conclusion	Bãhubali 2: The Conclusion	107769	8.2
154	Action,Adventure,Comedy	Guardians of the Galaxy Vol. 3	Guardians of the Galaxy Vol. 3	182560	8.2
155	Biography,Comedy,Drama	Green Book	Green Book	523646	8.2
156	Action,Crime,Drama	K.G.F: Chapter 1	K.G.F: Chapter 1	92235	8.2
157	Crime,Mystery,Thriller	Andhadhun	Andhadhun	97716	8.2
158	Drama,Fantasy,Horror	Tumbbad	Tumbbad	53608	8.2
159	Action,Drama,History	Uri: The Surgical Strike	Uri: The Surgical Strike	67983	8.2
160	Action,Drama,War	1917	1917	626589	8.2
161	Adventure,Comedy,Drama	The Gold Rush	The Gold Rush	114370	8.1
162	Action,Adventure,Comedy	The General	The General	94336	8.1
163	Drama,Romance	Sunrise	Sunrise: A Song of Two Humans	52501	8.1
164	Drama,War	All Quiet on the Western Front	All Quiet on the Western Front	65672	8.1
165	Comedy,Romance	It Happened One Night	It Happened One Night	107830	8.1
166	Comedy,Drama	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington	118001	8.1
167	Adventure,Family,Fantasy	The Wizard of Oz	The Wizard of Oz	412174	8.1
168	Drama	The Grapes of Wrath	The Grapes of Wrath	96577	8.1
169	Drama,Film-Noir,Mystery	Rebecca	Rebecca	141378	8.1
170	Drama,Romance,War	The Best Years of Our Lives	The Best Years of Our Lives	67485	8.1
171	Film-Noir,Mystery,Thriller	The Third Man	The Third Man	175968	8.1
172	Crime,Drama,Thriller	On the Waterfront	On the Waterfront	159179	8.1
173	Adventure,Drama,War	The Bridge on the River Kwai	The Bridge on the River Kwai	226464	8.1
174	Adventure,Drama	Ben-Hur	Ben-Hur	245972	8.1
175	Drama,Western	The Man Who Shot Liberty Valance	The Man Who Shot Liberty Valance	79310	8.1
176	Biography,Drama,Family	The Sound of Music	The Sound of Music	245964	8.1
177	Biography,Drama,History	Andrei Rublev	Andrey Rublyov	55402	8.1
178	Drama,Thriller	Persona	Persona	124413	8.1
179	Crime,Drama	Cool Hand Luke	Cool Hand Luke	182603	8.1
180	Horror	The Exorcist	The Exorcist	423701	8.1
181	Comedy,Crime,Drama	Paper Moon	Paper Moon	50090	8.1
182	Adventure,Drama,War	Barry Lyndon	Barry Lyndon	174666	8.1
183	Adventure,Mystery,Thriller	Jaws	Jaws	628513	8.1
184	Action,Adventure,Comedy	Sholay	Sholay	57262	8.1
185	Drama	Network	Network	164180	8.1
186	Drama,Sport	Rocky	Rocky	601774	8.1
187	Drama,War	The Deer Hunter	The Deer Hunter	348025	8.1
188	Drama,Sci-Fi	Stalker	Stalker	139053	8.1
189	Biography,Drama,Sport	Raging Bull	Raging Bull	364741	8.1
